attack_id,status,technique_name,dataset_splits
T1553.001,active,Gatekeeper Bypass,"train,dev"
T1553.005,active,Mark-of-the-Web Bypass,"train,dev"
T1554,active,Compromise Host Software Binary,train
T1555,active,Credentials from Password Stores,"train,test"
T1555.003,active,Credentials from Web Browsers,"train,dev"
T1556.001,active,Domain Controller Authentication,train
T1557.001,active,Name Resolution Poisoning and SMB Relay,train
T1558.003,active,Kerberoasting,train
T1559.001,active,Component Object Model,test
T1560,active,Archive Collected Data,"train,test"
T1560.001,active,Archive via Utility,"train,test"
T1561,active,Disk Wipe,train
T1561.002,active,Disk Structure Wipe,"train,test"
T1562,revoked,Impair Defenses,train
T1562.001,revoked,Disable or Modify Tools,"train,dev,test"
T1562.004,revoked,Disable or Modify System Firewall,"train,test"
T1562.009,revoked,Safe Mode Boot,dev
T1564,active,Hide Artifacts,train
T1564.001,active,Hidden Files and Directories,test
T1564.003,active,Hidden Window,"train,dev"
T1566,active,Phishing,"train,dev,test"
T1566.001,active,Spearphishing Attachment,"train,test"
T1566.002,active,Spearphishing Link,"train,dev,test"
T1566.003,active,Spearphishing via Service,"train,test"
T1567.002,active,Exfiltration to Cloud Storage,"train,dev,test"
T1569,active,System Services,test
T1569.002,active,Service Execution,"train,test"
T1570,active,Lateral Tool Transfer,"train,test"
T1571,active,Non-Standard Port,"train,test"
T1572,active,Protocol Tunneling,"train,test"
T1573,active,Encrypted Channel,"train,test"
T1573.001,active,Symmetric Cryptography,test
T1574,active,Hijack Execution Flow,train
T1574.001,active,DLL,train
T1574.002,revoked,DLL Side-Loading,"train,test"
T1574.005,active,Executable Installer File Permissions Weakness,train
T1574.011,active,Services Registry Permissions Weakness,train
T1580,active,Cloud Infrastructure Discovery,dev
T1583,active,Acquire Infrastructure,train
T1583.001,active,Domains,"train,test"
T1583.002,active,DNS Server,"train,dev,test"
T1583.003,active,Virtual Private Server,train
T1583.004,active,Server,train
T1584.001,active,Domains,train
T1584.002,active,DNS Server,train
T1584.003,active,Virtual Private Server,train
T1584.004,active,Server,test
T1584.005,active,Botnet,train
T1584.006,active,Web Services,test
T1585.001,active,Social Media Accounts,test
T1586.001,active,Social Media Accounts,"train,dev"
T1586.002,active,Email Accounts,train
T1587.001,active,Malware,"train,dev,test"
T1587.004,active,Exploits,"train,test"
T1588.001,active,Malware,"train,dev,test"
T1588.002,active,Tool,"train,dev,test"
T1588.004,active,Digital Certificates,train
T1588.005,active,Exploits,"train,test"
T1588.006,active,Vulnerabilities,"train,test"
T1589,active,Gather Victim Identity Information,train
T1590,active,Gather Victim Network Information,"train,dev"
T1590.005,active,IP Addresses,"train,dev"
T1592,active,Gather Victim Host Information,train
T1592.001,active,Hardware,train
T1592.004,active,Client Configurations,train
T1593.001,active,Social Media,train
T1593.002,active,Search Engines,train
T1595,active,Active Scanning,train
T1595.001,active,Scanning IP Blocks,train
T1595.002,active,Vulnerability Scanning,train
T1596.003,active,Digital Certificates,"train,dev"
T1598,active,Phishing for Information,"train,test"
T1598.001,active,Spearphishing Service,test
T1598.002,active,Spearphishing Attachment,"train,test"
T1598.003,active,Spearphishing Link,"dev,test"
T1600,active,Weaken Encryption,train
T1610,active,Deploy Container,test
T1614,active,System Location Discovery,dev
T1620,active,Reflective Code Loading,"train,dev,test"
T1622,active,Debugger Evasion,"train,dev,test"
T1647,active,Plist File Modification,train
