eval_id,retrieval_method,upstream_split,upstream_row_index,query_text,expected_attack_ids,retrieved_attack_ids,retrieved_scores,recall_at_1,recall_at_3,recall_at_5,recall_at_10,hit_at_3,hit_at_10,mrr
dev-0010,vector,dev,10,"The first artefacts we found relating to MATA were used around April 2018. After that, the actor behind this advanced malware framework used it aggressively to infiltrate corporate entities around the world. We identified several victims from our telemetry and figured out the purpose of this malware framework.",T1588.001;T1587.001,T1608.001;T1588.001;T1681;T1036;T1592.002;T1203;T1587.001;T1491.001;T1583.006;T1195.003,0.563637;0.554702;0.537640;0.524214;0.518646;0.501855;0.487378;0.482549;0.479926;0.475018,0.0,0.5,0.5,1.0,1,1,0.5
dev-0011,vector,dev,11,Another example of a Trojan with the same functionality is Backdoor.Win32.ZAccess (ZeroAccess). Its most favored targets are users in the US (27.7%) and Germany (11%).,T1588.001;T1587.001,T1574.008;T1546.008;T1218.010;T1574;T1588.001;T1679;T1204.004;T1547.009;T1553;T1195.003,0.510828;0.486742;0.485462;0.475662;0.472891;0.470480;0.468692;0.468520;0.467924;0.466954,0.0,0.0,0.5,0.5,0,1,0.2
dev-0012,vector,dev,12,"Mandiant Threat Intelligence discovered a new backdoor uploaded by a U.S.-based entity to a public malware repository in August 2020 that we have named SUNSHUTTLE. SUNSHUTTLE is written in GO, and reads an embedded or local configuration file, communicates with a hard-coded command and control (C2) server over HTTPS, and supports commands including remotely uploading its configuration, file upload and download, and arbitrary command execution. Notably, SUNSHUTTLE uses cookie headers to pass values to the C2, and if configured, can select referrers from a list of popular website URLs to help such network traffic “blend in.” .",T1588.001;T1583.002,T1036.012;T1592.002;T1189;T1608.002;T1213.002;T1102.002;T1583.006;T1592.004;T1608.001;T1056.003,0.519688;0.515819;0.515245;0.509557;0.502650;0.501248;0.498682;0.496527;0.493367;0.490932,0.0,0.0,0.0,0.0,0,0,0.0
dev-0013,vector,dev,13,"We also observed another malware distribution method of Roaming Mantis which is linked to prezi.com. Prezi is a popular computer application and online service to create dynamic presentations. The criminals used this service to spread their scam. When a user visits a page crafted by the attackers, a link is shown offering free content such as adult video, a game, a comic, music and so on, like pirate editions.",T1566.002;T1204.001;T1598.003,T1588.001;T1608.001;T1176.001;T1176;T1189;T1583.006;T1204.001;T1566.002;T1583.008;T1137.004,0.506154;0.488571;0.485407;0.479134;0.477982;0.472908;0.466100;0.465544;0.462804;0.460409,0.0,0.0,0.0,0.6666666666666666,0,1,0.14285714285714285
dev-0014,vector,dev,14,"Sixth and seventeenth places were taken by members of the Hqwar dropper family: Trojan-Dropper.AndroidOS.Hqwar.bb (3.36%) and Trojan-Dropper.AndroidOS.Hqwar.gen (1.57%), respectively. These packers most often contain banking Trojans, including Asacub.",T1588.001;T1587.001,T1592.003;T1608.001;T1681;T1590.006;T1596.005;T1592.001;T1592.002;T1589.003;T1596.001;T1518.001,0.351041;0.336155;0.321331;0.320589;0.320253;0.319497;0.316753;0.314238;0.313490;0.311557,0.0,0.0,0.0,0.0,0,0,0.0
dev-0015,vector,dev,15,"These downloaders maintained PDB strings with “PuppetLoader” filepaths. These PuppetLoader strings pretty clearly connected the multistage loaders with past PuppetLoader downloaders, only this time, redesigned and rewritten in C#. Past PuppetLoaders, written in C++, maintain explicit strings:",T1588.002,T1129;T1574.001;T1574.006;T1027.012;T1055.001;T1574.004;T1620;T1574.009;T1218.001;T1560.001,0.428046;0.372277;0.366756;0.353568;0.340753;0.335353;0.319176;0.317962;0.317624;0.311876,0.0,0.0,0.0,0.0,0,0,0.0
dev-0016,vector,dev,16,"Like many other stealers its main purpose is to steal credentials and information from web browsers, in addition to stealing cryptocurrency wallets, FTP credentials, various files and information about the system such as OS version, system language, processor type and clipboard data. ",T1555.003,T1539;T1606;T1056.003;T1217;T1056;T1657;T1204.004;T1584.006;T1185;T1550.004,0.550546;0.512228;0.507792;0.496552;0.488202;0.483617;0.482631;0.480070;0.472126;0.471471,0.0,0.0,0.0,0.0,0,0,0.0
dev-0017,vector,dev,17,"A new Ducktail phishing campaign is spreading a never-before-seen Windows information-stealing malware written in PHP used to steal Facebook accounts, browser data, and cryptocurrency wallets.",T1566,T1566;T1204.004;T1566.002;T1566.004;T1674;T1598.003;T1598;T1598.004;T1583.008;T1588.001,0.528577;0.519804;0.506528;0.505808;0.497713;0.496313;0.486328;0.486264;0.477694;0.472009,1.0,1.0,1.0,1.0,1,1,1.0
dev-0018,vector,dev,18,"We saw some cases where a separate loader – WindowsTool.exe – was used to implement persistence and execute DeepCreep with InstallUtil, a legitimate tool from the .NET Framework.",T1218.004,T1218.004;T1546.010;T1546.009;T1546.007;T1543.003;T1127.002;T1547.002;T1055.001;T1218.007;T1055.003,0.623734;0.601421;0.580214;0.545230;0.542217;0.530377;0.529874;0.527438;0.522651;0.513626,1.0,1.0,1.0,1.0,1,1,1.0
dev-0019,vector,dev,19,QAKBOT has gained execution through users accessing malicious link,T1204.001,T1204.001;T1204.004;T1674;T1027.005;T1176;T1574.006;T1204;T1218.015;T1566.002;T1176.001,0.474648;0.421576;0.419929;0.411145;0.410841;0.405762;0.404176;0.393083;0.386891;0.386315,1.0,1.0,1.0,1.0,1,1,1.0
dev-0020,vector,dev,20,"In 2013, Kaspersky reported on a threat actor group they named “IceFog” that had been attacking a large number of entities related to military, mass media, and technology in South Korea and Japan. This group developed their own backdoor for both Windows and OS X. And just this year, Kaspersky published a report on a group they named ""Careto/Mask"" that utilized an open source netcat-like project designed to run on *nix and Windows systems named ‘sbd’ which they wrapped in a custom built installer for OS X.",T1587.001,T1014;T1195.003;T1564;T1036;T1127.003;T1203;T1574;T1218;T1027.004;T1518.001,0.521426;0.510357;0.507893;0.507466;0.499828;0.492782;0.491382;0.488001;0.486572;0.486368,0.0,0.0,0.0,0.0,0,0,0.0
dev-0021,vector,dev,21,"This module propagates Trickbot via the EternalRomance exploit. It enables WDigest Authentication by modifying the UseLogonCredential value in the HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest registry key. This modification is forced to save credentials in lsass.exe memory (Local Security Authority Subsystem Service). The tabDll32 module then injects the embedded module screenLocker in explorer.exe and locks the workstation with the lock screen, forcing the user to login again. It waits for next user login and scrapes the credentials from LSASS memory utilizing Mimikatz functionality. Stolen credentials are sent back to the C2. After that tabDll32 downloads the payload from hardcoded URLs – usually the Trickbot loader (downloader) – starts up to 256 threads and uses the EternalRomance exploit to rapidly spread the downloaded payload over the network. Another embedded module, ssExecutor_x86, is used to set up persistence for the downloaded payload on exploited systems. This module also contains the main code of the shareDll32 module, and uses it to spread over the network.",T1003.001;T1547.008,T1003.004;T1547.008;T1547.002;T1547.004;T1003.001;T1546.008;T1547.014;T1546.010;T1112;T1055.003,0.607805;0.602409;0.599749;0.592428;0.589490;0.589184;0.587907;0.581537;0.580504;0.575394,0.0,0.5,1.0,1.0,1,1,0.5
dev-0022,vector,dev,22,"While WannaCry ransomware has spread primarily through SMB exploitation, its operators may also use other distribution methods. Early reports suggested WannaCry was spread through malicious links in spam messages; however, FireEye has been unable to corroborate that information from any of our investigations to date.",T1566.002;T1203,T1204.004;T1566.002;T1583.008;T1608.001;T1592.002;T1598.003;T1593.002;T1679;T1598;T1591.002,0.466663;0.456117;0.454597;0.454023;0.450492;0.446427;0.442285;0.439750;0.438974;0.436791,0.0,0.5,0.5,0.5,1,1,0.5
dev-0023,vector,dev,23,The jar that exploited CVE-2013-2423 dropped a 9002 RAT with a MD5 of d99ed31af1e0ad6fb5bf0f116063e91f. This RAT connected to a command and control server at asp[.]homesvr[.]linkpc[.]net. The jar that exploited CVE-2013-1493 dropped a 9002 RAT with a MD5 of 42bd5e7e8f74c15873ff0f4a9ce974cd. This RAT connected to a command and control server at ssl[.]homesvr[.]tk.,T1210,T1056.003;T1564.006;T1659;T1584.008;T1204;T1687;T1070.007;T1518.001;T1568;T1105,0.506049;0.505577;0.500535;0.487156;0.485677;0.485124;0.484709;0.483847;0.482780;0.481815,0.0,0.0,0.0,0.0,0,0,0.0
dev-0024,vector,dev,24,"On November 25, we confirmed that another malware, AzoRult, was served from the same URL previously serving Smoke Loader. AzoRult is also a commodity malware that steals credentials, cookies, and cryptocurrencies. This AzoRult accesses the following C2 address, which is a different path on the same C2 server with the Smoke Loader.",T1588.001,T1574.008;T1608.001;T1574.001;T1027.012;T1218.013;T1588.001;T1204;T1204.001;T1127.002;T1016.001,0.474615;0.462480;0.451463;0.435782;0.434161;0.433278;0.429464;0.428427;0.427068;0.426895,0.0,0.0,0.0,1.0,0,1,0.16666666666666666
dev-0025,vector,dev,25,"Spam messages sent to users of VKontakte contained a personal address and were far more lively. These messages contained a link to a server, which redirected users to porn sites. Users were told that in order to view videos, they had to download a codec, which turned out to be Trojan.Win32.Crypt.ey, a malicious Browser Helper Object. This caused the first five results in any web search query to be malicious links. Kaspersky Lab estimates that approximately 4000 VKontakte accounts were stolen with a few hours. ",T1566.002,T1204.004;T1583.008;T1588.001;T1564.006;T1566.002;T1204.001;T1189;T1608.001;T1598.003;T1674,0.509560;0.507873;0.507193;0.492131;0.478198;0.471239;0.467289;0.463951;0.462264;0.450953,0.0,0.0,1.0,1.0,0,1,0.2
dev-0026,vector,dev,26,"Current module doesn’t create any local logs, instead all information is kept in memory, which is later compressed using Zlib 1.2.5, encrypted, encoded with Base64 algorithm and submitted to the C&C server.",T1132,T1685.006;T1685.005;T1685.004;T1560.002;T1685.001;T1654;T1003.007;T1560.001;T1070.003;T1690,0.467214;0.339218;0.335099;0.331783;0.314380;0.306544;0.305858;0.294434;0.289662;0.282763,0.0,0.0,0.0,0.0,0,0,0.0
dev-0027,vector,dev,27,"Trojan.AndroidOS.Fadeb.a could be regarded as the least successful of the malicious programs described above. Its activity also increased starting in early May, but even in the first half of July, which was its most active period, the number of users attacked did not exceed 1,000 per day.",T1587.001,T1678;T1687;T1176;T1588.001;T1204.005;T1668;T1204.004;T1497.002;T1587.001;T1499.003,0.454137;0.450136;0.445388;0.430440;0.425627;0.423053;0.415283;0.414544;0.406811;0.404419,0.0,0.0,0.0,1.0,0,1,0.1111111111111111
dev-0028,vector,dev,28,. . . This timeline shows that the attackers have been busy developing a new component of the infection chain almost every month since April 2020.. . A visual timeline of the evolution is presented here:. Visual timeline of the evolution of the infection chain of CRAT.. . ,T1587.001,T1608.001;T1584.005;T1491;T1070.010;T1491.001;T1681;T1027.005;T1070.007;T1070;T1204,0.359787;0.338486;0.338197;0.334779;0.332789;0.328660;0.328516;0.316339;0.314186;0.311096,0.0,0.0,0.0,0.0,0,0,0.0
dev-0029,vector,dev,29,Patterns in certificate issuer data for Dridex HTTPS C2 traffic are somewhat unique when compared to other malware families. They can be key to identifying Dridex infections.,T1596.003,T1016.001;T1596.003;T1140;T1588.004;T1090.002;T1102;T1036.012;T1518.001;T1102.001;T1590.003,0.426905;0.423281;0.364947;0.360778;0.359619;0.355152;0.353389;0.347808;0.345662;0.344075,0.0,1.0,1.0,1.0,1,1,0.5
dev-0030,vector,dev,30,"The main worker sample contains five icon resources with valid icons named 16, 256, 4097, 8193 and 12289. The names indicate different icon resolutions, but the icons only differ in the encrypted data appended to them which can be considered as a form of steganography. This data is encrypted with a custom algorithm and additionally zlib compressed. The same method is used within the SSP DLLs. A Python script for decryption and decompression can be found in the Appendix. After decryption, the data blob has the following structure:",T1027.003,T1140;T1027.013;T1027.012;T1027;T1048.003;T1027.003;T1560;T1036.008;T1560.003;T1003.004,0.481785;0.461845;0.460916;0.442896;0.440482;0.437239;0.427951;0.413795;0.410500;0.407022,0.0,0.0,0.0,1.0,0,1,0.16666666666666666
dev-0031,vector,dev,31,"In response, the malware receives an extended loader – a module in a format typical of ZeuS, i.e., not a standard PE file but a set of sections that are mapped to memory by the loader itself: executable code, relocation table, point of entry, exported functions, import table.",T1587.001,T1608.001;T1055.002;T1588.001;T1129;T1027.007;T1027.004;T1070.010;T1620;T1055.009;T1055.011,0.547128;0.506588;0.502501;0.497027;0.495774;0.494059;0.488505;0.482790;0.481701;0.479720,0.0,0.0,0.0,0.0,0,0,0.0
dev-0032,vector,dev,32,PLEAD’s installers are disguised as documents using the right-to-left-override (RTLO) technique to obfuscate the malware’s filename. They are mostly accompanied by decoy documents to further trick users. We’ve also seen PLEAD use exploits for these vulnerabilities:. . ,T1036.002,T1036.002;T1218;T1027;T1140;T1027.004;T1056.002;T1036;T1204.002;T1564;T1027.014,0.574345;0.508784;0.492558;0.491268;0.488069;0.480708;0.477363;0.477321;0.476814;0.466896,1.0,1.0,1.0,1.0,1,1,1.0
dev-0033,vector,dev,33,Attempts to check the language settings.,T1614;T1614,T1614.001;T1036.002;T1132.002;T1614;T1027.018;T1683.001;T1132.001;T1132;T1588.007;T1069.001,0.378389;0.267416;0.245577;0.233178;0.222538;0.216861;0.211105;0.205812;0.198756;0.191081,0.0,0.0,1.0,1.0,0,1,0.25
dev-0034,vector,dev,34,"Indicators, such as logs in Windows Event Logs or malicious files, are typically removed using wevtutil, a batch script, or CCleaner.",T1070,T1685.005;T1685.001;T1027.005;T1547.004;T1070;T1556.008;T1070.007;T1070.004;T1685.004;T1218.010,0.666904;0.592874;0.573834;0.516287;0.462871;0.438024;0.432284;0.431234;0.429689;0.427215,0.0,0.0,1.0,1.0,0,1,0.2
dev-0035,vector,dev,35,Compromised accounts may be used to maintain access to the network.,T1078;T1078,T1078;T1078.003;T1078.002;T1586;T1098;T1199;T1531;T1556;T1110.001;T1040,0.694167;0.593059;0.576470;0.572866;0.570760;0.563448;0.560627;0.545559;0.527694;0.526982,1.0,1.0,1.0,1.0,1,1,1.0
dev-0036,vector,dev,36,Black Basta uses bcdedit to boot the device in safe mode.,T1562.009,T1688;T1542.003;T1561.002;T1542.005;T1495;T1543.003;T1542;T1601;T1546.002;T1529,0.436736;0.380373;0.349438;0.337423;0.330304;0.326381;0.321379;0.319671;0.308293;0.307481,0.0,0.0,0.0,0.0,0,0,0.0
dev-0037,vector,dev,37,"Windows Defender, other anti-malware solutions and monitoring tools are disabled utilizing a process explorer tool, a batch script or a specially crafted command line script.",T1562.001;T1562.001,T1569.002;T1686.003;T1218.003;T1685.001;T1218.011;T1543.003;T1218.010;T1553.005;T1218.007;T1027.005,0.495061;0.489219;0.488348;0.487501;0.483718;0.471629;0.464606;0.462954;0.460913;0.458258,0.0,0.0,0.0,0.0,0,0,0.0
dev-0038,vector,dev,38,Affiliates use hidden windows to hide malicious activity from plain sight.,T1564.003;T1564.003,T1102.002;T1583.008;T1176;T1566.002;T1566.003;T1665;T1496.002;T1102;T1176.001;T1588.001,0.499507;0.496666;0.496159;0.496043;0.494377;0.490258;0.488156;0.486708;0.486298;0.478664,0.0,0.0,0.0,0.0,0,0,0.0
dev-0039,vector,dev,39,CreepyDrive uses the OneDrive HTTP API (and the Dropbox HTTP API) to access the cloud storage.,T1530,T1530;T1619;T1567.002;T1586.003;T1537;T1580;T1025;T1585.003;T1119;T1538,0.516106;0.491341;0.481445;0.405781;0.399413;0.398329;0.396286;0.395630;0.387782;0.385794,1.0,1.0,1.0,1.0,1,1,1.0
dev-0040,vector,dev,40,"It can upload or download files from attacker-controlled accounts in these cloud services, and execute supplied PowerShell code",T1580,T1021.007;T1537;T1078.004;T1059.009;T1136.003;T1585.003;T1098.003;T1586.003;T1651;T1567.002,0.643221;0.621719;0.620701;0.618057;0.616782;0.595695;0.595080;0.592623;0.588059;0.570615,0.0,0.0,0.0,0.0,0,0,0.0
dev-0041,vector,dev,41,Smuggles a file’s content by hiding malicious payloads inside of seemingly benign HTML files.,T1027.006,T1027.006;T1027.017;T1218.001;T1027.009;T1027;T1204.002;T1027.018;T1027.004;T1036.008;T1027.013,0.769471;0.624493;0.624155;0.591266;0.556956;0.549973;0.539604;0.524435;0.521545;0.513033,1.0,1.0,1.0,1.0,1,1,1.0
dev-0042,vector,dev,42,PapaCreep is a previously undocumented custom backdoor written in C++ that can receive and execute commands from a remote server via TCP sockets.,T1071,T1505.003;T1055;T1205.001;T1055.008;T1055.002;T1569.002;T1027.010;T1001;T1559;T1202,0.473952;0.455576;0.439130;0.432297;0.432090;0.428421;0.426058;0.422026;0.418115;0.414045,0.0,0.0,0.0,0.0,0,0,0.0
dev-0043,vector,dev,43,CreepyDrive is a PowerShell backdoor that reads and executes commands from a text file stored on OneDrive or Dropbox,T1580,T1006;T1059.001;T1027.003;T1679;T1204.004;T1039;T1505.003;T1216;T1025;T1564.008,0.542972;0.508725;0.489799;0.485009;0.462622;0.446429;0.434556;0.433617;0.429261;0.417577,0.0,0.0,0.0,0.0,0,0,0.0
dev-0044,vector,dev,44,"On a similar note, they like to divide the code in their backdoors, distributing malicious functionality into various small DLLs, perhaps expecting that defenders or researchers will not observe the complete attack chain.",T1622,T1204.005;T1574.001;T1027.004;T1587.001;T1588.002;T1195;T1027.014;T1027.007;T1553;T1176,0.598996;0.595864;0.557922;0.553192;0.550662;0.544092;0.542152;0.541619;0.540493;0.539527,0.0,0.0,0.0,0.0,0,0,0.0
dev-0045,vector,dev,45,"The final stage is a Windows executable-type malware that is capable of stealing information from the victim such as file lists, user keystrokes, and stored web browser login credentials.",T1056.001,T1055.011;T1574.008;T1127.002;T1204.004;T1553.005;T1588.001;T1218.007;T1218.010;T1569.002;T1055.003,0.596414;0.582287;0.581143;0.579086;0.575310;0.574491;0.574305;0.574190;0.569750;0.569408,0.0,0.0,0.0,0.0,0,0,0.0
dev-0046,vector,dev,46,Russian state-sponsored APT actors have conducted bruteforce password guessing and password spraying campaigns.,T1110.001;T1110.003,T1110;T1110.003;T1201;T1110.001;T1110.002;T1593.003;T1589.001;T1056.002;T1003;T1586,0.489484;0.483309;0.478710;0.471057;0.452949;0.451729;0.435072;0.434938;0.428483;0.423984,0.0,0.5,1.0,1.0,1,1,0.5
dev-0047,vector,dev,47,Russian state-sponsored APT actors have exploited Windows Netlogon vulnerability CVE-2020-1472 to obtain access to Windows Active Directory servers.,T1212,T1482;T1216.002;T1547.004;T1547.014;T1484;T1556.008;T1056.002;T1212;T1134.005;T1003.006,0.505476;0.502095;0.500750;0.499802;0.486985;0.471189;0.465429;0.462251;0.460282;0.454950,0.0,0.0,0.0,1.0,0,1,0.125
dev-0048,vector,dev,48,Russian state-sponsored APT actors have obtained private encryption keys from the Active Directory Federation Services (ADFS) container to decrypt corresponding SAML signing certificates.,T1552.004,T1606.002;T1552.004;T1649;T1484.002;T1588.004;T1608.003;T1587.003;T1098.001;T1480.001;T1588.003,0.494701;0.469960;0.449146;0.440822;0.427155;0.424639;0.391465;0.389686;0.387559;0.386764,0.0,1.0,1.0,1.0,1,1,0.5
dev-0049,vector,dev,49,Russian state-sponsored APT actors have used virtual private servers (VPSs) to route traffic to targets. The actors often use VPSs with IP addresses in the home country of the victim to hide activity among legitimate user traffic.,T1090.003,T1583.003;T1584.003;T1665;T1583;T1090.003;T1583.007;T1584.007;T1686.001;T1537;T1021,0.577108;0.571594;0.475017;0.460652;0.434562;0.429961;0.429938;0.418563;0.415646;0.415075,0.0,0.0,1.0,1.0,0,1,0.2
dev-0050,vector,dev,50,Chinese state-sponsored cyber actors have been observed using Cobalt Strike® and tools from GitHub® on victim networks.,T1588.002,T1593.001;T1588.002;T1588.007;T1683.001;T1496.004;T1591.002;T1559.001;T1590.006;T1597.002;T1592.001,0.406787;0.406035;0.403678;0.385993;0.382624;0.381304;0.378405;0.374781;0.373039;0.371324,0.0,1.0,1.0,1.0,1,1,0.5
dev-0051,vector,dev,51,"Chinese state-sponsored cyber actors have been observed:  Exploiting vulnerable devices immediately after conducting scans for critical zero-day or publicly disclosed vulnerabilities. The cyber actors used or modified public proof of concept code in order to exploit vulnerable systems.  Targeting Microsoft Exchange offline address book (OAB) virtual directories (VDs).  Exploiting Internet accessible webservers using webshell small code injections against multiple code languages, including net, asp, apsx, php, japx, and cfm.",T1133,T1559.001;T1189;T1588.007;T1588.002;T1204.004;T1027.018;T1559.002;T1588.005;T1564.006;T1491.002,0.516894;0.474462;0.471400;0.465264;0.463195;0.461743;0.461416;0.457490;0.457266;0.456896,0.0,0.0,0.0,0.0,0,0,0.0
dev-0052,vector,dev,52,Chinese state-sponsored cyber actors have also been observed modifying group policies for password exploitation.,T1484.001,T1201;T1110.003;T1589.001;T1586;T1110.001;T1586.002;T1003.006;T1098;T1078;T1552.006,0.500238;0.446307;0.439272;0.439118;0.432156;0.430489;0.425833;0.424729;0.421812;0.421217,0.0,0.0,0.0,0.0,0,0,0.0
dev-0053,vector,dev,53,The actors staged archives of collected data on a target's OWA server.,T1074.002,T1597.002;T1596.005;T1681;T1597.001;T1593.001;T1591.003;T1213.006;T1596.002;T1596.004;T1213.005,0.442852;0.435804;0.429161;0.426802;0.426675;0.421122;0.418722;0.412731;0.410700;0.410244,0.0,0.0,0.0,0.0,0,0,0.0
dev-0054,vector,dev,54,The actors renamed archive files containing exfiltration data with innocuous looking names and extensions (e.g. .wav and .mp4) to resemble benign files,T1036,T1204.002;T1036.008;T1036.007;T1027.015;T1564.012;T1027.013;T1564.004;T1036;T1027;T1027.009,0.559184;0.523298;0.522747;0.499590;0.481569;0.473943;0.472448;0.471513;0.468677;0.451656,0.0,0.0,0.0,1.0,0,1,0.125
dev-0055,vector,dev,55,The actors renamed the WinRAR utility to avoid detection.,T1036.003,T1204.002;T1027.015;T1036.003;T1036.007;T1036.002;T1553.005;T1564.012;T1564.004;T1679;T1036,0.448739;0.445567;0.435385;0.434977;0.432247;0.430107;0.427060;0.420998;0.414005;0.412997,0.0,1.0,1.0,1.0,1,1,0.3333333333333333
dev-0056,vector,dev,56,Actors used Impacket tools wmiexec.py and smbexec.py to leverage Windows Management Instrumentation and execute malicious commands.,T1047,T1569.002;T1059.001;T1218.007;T1059.006;T1059;T1202;T1127.003;T1543.003;T1204.004;T1218.014,0.632702;0.605589;0.604035;0.603342;0.597795;0.594918;0.582166;0.580764;0.575422;0.571458,0.0,0.0,0.0,0.0,0,0,0.0
dev-0057,vector,dev,57,"Each sample contains malicious code that writes an embedded payload to disk and launches it. However, the malicious code was inserted at different locations in each of the trojanized PuTTY samples. In the PuTTY sample discovered by Mandiant, the code resides in the connect_to_host function, which is in the source file putty-0.77\ssh\ssh.c. To trigger the code, the user must attempt an SSH connection to the host IP address provided in the Readme.txt file (Figure 1).",T1620,T1608.001;T1027.004;T1674;T1554;T1564.006;T1647;T1056.004;T1552.004;T1202;T1592.002,0.415370;0.414297;0.410111;0.409947;0.406160;0.394092;0.393361;0.389415;0.385806;0.385380,0.0,0.0,0.0,0.0,0,0,0.0
