reviewed_at_utc,eval_id,winner,failure_modes,review_notes,answer_a_model,answer_b_model,judge_31_winner,judge_35_winner,judge_31_agrees,judge_35_agrees
2026-08-15T14:03:29.996598+00:00,dev-0045,gemini-3.1-flash-lite,No material issue,"Both models correctly identify that the retrieved context lacks the appropriate ATT&CK techniques to map the incident narrative (which describes file enumeration, keylogging, and credential theft). The ""Expected ATT&CK label"" (T1056.001 - Keylogging) is entirely relevant to the narrative but was missing from the retrieved context. Both models successfully handle this uncertainty by safely rejecting the retrieved context rather than hallucinating or forcing a fit.

Answer B is the better response because its uncertainty note provides a more detailed and nuanced analysis. Specifically, Answer B correctly distinguishes the narrative's ""keylogging"" from the retrieved T1674 (Input Injection) technique, explicitly noting that input simulation is different from input logging. This demonstrates a deeper comprehension of the provided context and prevents potential analyst confusion. Answer A is still a strong and factually correct response, but Answer B provides superior utility and analytical depth.",gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,true,false
2026-08-15T14:04:27.593869+00:00,dev-0046,gemini-3.1-flash-lite,No material issue,"Both models correctly successfully map the incident narrative to the provided context, correctly identifying that both ""password guessing"" and ""password spraying"" are explicitly mentioned in the text. However, Answer B is the better response because it maps directly to the more granular sub-techniques (T1110.003 and T1110.001) for its Primary and Alternative selections. Answer A selects the broader parent technique (T1110) as its primary, which is less precise. In MITRE ATT&CK mapping, analysts should always strive to map to the deepest, most specific sub-technique available when the evidence supports it.

(Note: The Expected ATT&CK label provided in the prompt was incomplete, as it only listed T1110.001 despite the narrative explicitly detailing password spraying as well. Both models successfully ignored this limitation and correctly included both sub-techniques.)",gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,false,true
2026-08-15T14:06:06.752765+00:00,dev-0047,gemini-3.1-flash-lite,Missed expected technique | Inadequate uncertainty handling,"Answer B is the superior model because it correctly synthesizes the incident narrative with the retrieved context. While the retrieved text for T1212 does not explicitly mention ""CVE-2020-1472"" or ""Netlogon"" by name, it specifically describes how ""authentication mechanisms may be targeted for exploitation by adversaries as a means to gain access to useful credentials or circumvent the process to gain authenticated access to systems."" Answer B successfully recognizes that this definition perfectly captures the mechanics of the ZeroLogon vulnerability.

Answer A fails because it relies on rigid, exact-keyword matching. By concluding that a mapping cannot be made simply because the specific CVE and tool name are absent from the context, Answer A misses the expected technique and demonstrates inadequate uncertainty handling. Answer B provides a logical, well-grounded analyst summary that accurately connects the abstract framework definition to the specific real-world exploit.",gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,true,false
2026-08-15T14:07:09.281137+00:00,dev-0050,tie,No material issue,"Both models perform exceptionally well. They accurately map the narrative to T1588.002 based on the provided context, but more importantly, both models astutely recognize the semantic mismatch between the incident narrative (""using"" tools on a network) and the expected technique's definition (which strictly covers the ""acquisition"" or ""obtaining"" of tools under the Resource Development tactic).

Both models demonstrate outstanding uncertainty handling by calling out this discrepancy rather than blindly forcing a perfect fit.

Answer B provides slightly more robust analyst utility in its uncertainty note by explicitly identifying the tactics (Execution or Command and Control) that would better fit the ""usage"" aspect of the narrative if they had been present in the retrieved context.

Answer A, however, appropriately flags the mapping for review (Review required: Yes), which is the correct analytical safeguard when a narrative's primary action doesn't perfectly align with the available context.

Because both models correctly identify the prompt's slightly flawed expected label (mapping ""use"" to an ""acquire"" technique) and explain the limitations of the retrieved context flawlessly, they both earn top marks.",gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,not_applicable,not_applicable
2026-08-15T14:08:14.409192+00:00,dev-0052,gemini-3.1-flash-lite,Incorrect technique mapping | Weak grounding in narrative,"The expected ATT&CK label provided in the prompt (T1484.001 — Group Policy Modification) is highly relevant to the incident narrative, but it was intentionally excluded from the retrieved context.

Answer A is the better response because it correctly discerns the technical differences between the narrative and the available context. It properly rejects T1552.006 (Group Policy Preferences) because the narrative specifies modifying group policies, whereas T1552.006 strictly involves finding and extracting unsecured credentials from existing ones. Answer A logically falls back on T1098 (Account Manipulation), correctly citing that it covers modifying security policies to subvert password controls, and notes T1531 as an alternative where Group Policy is leveraged.

Answer B fails because it forces an incorrect mapping to T1552.006. It hallucinates a fit by conflating the modification of group policies with the discovery of credentials in Group Policy Preferences, demonstrating weak grounding and poor uncertainty handling.",gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,true,false
2026-08-15T14:12:38.282266+00:00,dev-0058,tie,No material issue,"Both models correctly identify T1037.004 (RC Scripts) as the primary technique, perfectly grounding their answers in the retrieved context that explicitly mentions ESXi hypervisors and the /etc/rc.local.d/ directory. They also correctly map T1059.004 (Unix Shell) as a supporting technique for the bash script execution.

It is worth noting that the Expected ATT&CK label provided in the prompt (T1547 — Boot or Logon Autostart Execution) is inaccurate for this specific UNIX/ESXi mechanism, as T1037.004 (Boot or Logon Initialization Scripts: RC Scripts) is the precise match. While neither model explicitly flagged the discrepancy with the expected label, they both successfully ignored it in favor of the correct technique found in the retrieved context. Their analyst summaries, grounding notes, and uncertainty handling are equally clear, concise, and analytically sound, resulting in a tie.",gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,not_applicable,not_applicable
2026-08-15T14:23:27.249745+00:00,dev-0062,gemini-3.1-flash-lite,Incorrect technique mapping | Weak grounding in narrative,"Answer B is the superior response because it correctly maps the incident narrative to a single, highly accurate technique: T1135 (Network Share Discovery). The narrative specifically describes enumerating remote SMB network shares, which maps perfectly to T1135 and the provided context.

Answer A struggles with over-mapping, incorrectly including T1021.002 (SMB/Windows Admin Shares) and T1680 (Local Storage Discovery) as alternative or supporting techniques. The provided narrative strictly details the discovery of remote shares (enumeration), not the interaction or lateral movement over them (which would be T1021.002), nor the discovery of local drives (which would be T1680). By sticking strictly to the information provided in the narrative without hallucinating additional intent or scope, Answer B demonstrates stronger grounding and analytical utility. The expected ATT&CK label was correct.",gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,true,false
2026-08-15T16:00:27.040325+00:00,dev-0063,tie,No material issue,"The provided ""Expected ATT&CK label"" (T1207 — Rogue Domain Controller) is highly misleading and incorrect. The narrative explicitly describes a DCSync attack (extracting hashes via Directory Replication Service Remote Protocol and the lsadump::dcsync Mimikatz command), not the injection/replication of AD objects associated with a Rogue DC/DCShadow (T1207).

Both models successfully ignored this flawed expected label and accurately mapped the narrative to the correct primary technique (T1003.006 — DCSync) and the correct secondary/consequential technique (T1558.001 — Golden Ticket). Both models demonstrate excellent grounding in the text and the retrieved context without hallucinating. Answer A provides a slightly better ""Uncertainty note"" by clearly explaining the structural relationship and hierarchy between the two identified techniques, while Answer B provides a slightly more fluid analyst summary. Overall, both models handled the task and the misleading prompt perfectly, resulting in a tie.",gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,not_applicable,not_applicable
2026-08-15T16:01:41.554833+00:00,dev-0065,tie,Incorrect technique mapping | Weak grounding in narrative,"Both models correctly identified the primary technique as T1567.002 (Exfiltration to Cloud Storage), which perfectly matches both the provided incident narrative and the expected ATT&CK label. The expected label is completely relevant and accurate.

However, both models failed critically by including T1537 (Transfer Data to Cloud Account) as an alternative and supporting technique. If we look closely at the retrieved context for T1537, it explicitly defines the technique as exfiltrating data ""to another cloud account they control on the same service."" This technique is meant for cloud-to-cloud data transfers. The incident narrative clearly specifies that the synchronization occurs ""between the infected computer and an adversary-controlled MEGA Cloud Drive"" (endpoint-to-cloud).

Both models performed superficial keyword matching on terms like ""synchronizes"" and ""cloud account"" while ignoring the structural constraints of T1537. Model A's analyst summary is slightly superior because it retains specific context (naming the Nefilim operators), but because both models made the exact same incorrect technique mapping, the result is a tie.",gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,not_applicable,not_applicable
2026-08-15T16:02:51.119854+00:00,test-0004,gemini-3.1-flash-lite,Unsupported or hallucinated technique | Weak grounding in narrative,"Answer B is the superior response because it correctly maps the primary technique to T1102.001 (Dead Drop Resolver) while demonstrating excellent uncertainty handling. It accurately recognizes that although the narrative mentions spear-phishing and script execution, the provided retrieved context lacks the corresponding techniques (such as T1566 or T1059) to map those behaviors, safely rejecting the context instead of forcing a fit.

Answer A fails by including T1102.002 (Bidirectional Communication) as an alternative and supporting technique. The narrative explicitly states that the public web services are used to host content that ""reveals a command-and-control (C2) server address"" (the exact definition of a dead-drop resolver), but it never indicates that the adversary uses the web service channel to send commands and receive output bidirectionally. Thus, Answer A forces an unsupported mapping.

(Note: The provided ""Expected ATT&CK labels"" were highly relevant to the narrative overall, covering the phishing, execution, and web service behaviors, but the retrieved context only provided the specific sub-technique for the dead-drop resolver (T1102.001). Answer B handled this discrepancy perfectly.)",gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,false,true
2026-08-15T16:03:51.937220+00:00,test-0006,tie,Inadequate uncertainty handling | Unsupported or hallucinated technique | Weak grounding in narrative,"Both models completely failed the negative constraints and uncertainty handling requirements of the prompt. The input data provided blank fields for both the ""Expected ATT&CK labels and definitions"" and the ""Retrieved ATT&CK context."" Per the instructions to use only the retrieved context provided, both models should have safely rejected the task or flagged that no context was available. Instead, both models hallucinated a mapping relying entirely on their internal knowledge of the MITRE ATT&CK framework.

Additionally, both models failed the Prompt Quality Check, as neither acknowledged that the expected labels were completely missing from the prompt.

Looking at the generated text itself, both models correctly identified T1564.001 (Hidden Files and Directories) using internal knowledge, which fits the narrative perfectly (characteristic of USB worms like Gamarue). However, both hallucinated details to justify their supporting techniques: Answer A falsely claims T1080 and T1091 mention ""hiding real directories,"" while Answer B incorrectly defines T1080 as ""directory share pivots"" (T1080 is actually Taint Shared Content). Answer B provides a slightly better Analyst Summary by correctly explaining the adversary's intent (mimicking directory names to force user execution), but this minor advantage cannot overcome the fact that both models egregiously failed to recognize the missing context and hallucinated their grounding.",gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,not_applicable,not_applicable
2026-08-15T16:05:02.664549+00:00,test-0007,gemini-3.1-flash-lite,Unsupported or hallucinated technique | Inadequate uncertainty handling | Incorrect technique mapping,"Answer A provides the more analytically sound assessment, though both models exhibited significant failures regarding uncertainty handling and prompt constraints.

Prompt Quality & Uncertainty Handling: The prompt provided empty fields for the ""Expected ATT&CK labels"" and ""Retrieved ATT&CK context."" The models were strictly instructed to evaluate the narrative using only the retrieved context provided. Both models completely failed to safely reject the prompt or flag the missing context. Instead, they ignored the constraints and hallucinated an attribution based purely on their internal knowledge (triggering the ""Unsupported or hallucinated technique"" and ""Inadequate uncertainty handling"" observed issues).

Analyst Utility & Mapping Accuracy: Grading purely on the intrinsic merit of their ""blind"" mappings, Answer A is superior. The incident narrative explicitly focuses on the action occurring within the payload (a detailed decryption routine, multiple keys, bit shifts, and decompression via the RtlDecompressBuffer API). Answer A correctly identifies T1140 (Deobfuscate/Decode Files or Information) as the primary technique because the text emphasizes the active transformation process. Answer B incorrectly flags T1027 (Obfuscated Files or Information) as the primary technique; while T1027 describes the initial, encrypted state of the payload, it fails to capture the active decryption/decompression routine that dominates the narrative.",gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,false,true
2026-08-15T16:06:05.303615+00:00,test-0009,tie,Inadequate uncertainty handling | Other,"Both models successfully identify T1218.005 (System Binary Proxy Execution: Mshta) as the correct real-world MITRE ATT&CK mapping for the execution of mshta.exe. Both also provide clear, concise analyst summaries that accurately reflect the incident narrative.

However, both models completely fail the ""Uncertainty Handling"" and ""Correctness & Grounding"" criteria as strictly defined by the prompt's constraints. The provided input data contains absolutely no ""Retrieved ATT&CK context"" or ""Expected ATT&CK labels and definitions."" Rather than safely rejecting the task or flagging that the retrieved context was empty/insufficient to make a determination, both models hallucinated that they were referencing provided documentation (e.g., Answer A states ""T1218.005 (Mshta) explicitly documents..."" and Answer B states ""Record T1218.005 details..."").

Because both models bypassed the strict instruction to use only the retrieved context and failed to flag the missing Expected Labels and Context, neither answer is better than the other. They both exhibit identical flaws in uncertainty handling.",gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,not_applicable,not_applicable
2026-08-15T16:07:02.315338+00:00,test-0016,tie,Inadequate uncertainty handling,"Both Answer A and Answer B perfectly map the incident narrative to the correct MITRE ATT&CK technique (T1505.004: Server Software Component: IIS Components) using their internal knowledge. The analyst summaries and grounding notes in both responses are highly accurate to real-world threat intelligence regarding IIS module abuse (like RGDoor).

However, both models completely fail the uncertainty handling and grounding constraints established in the prompt. The instructions explicitly state to use only the retrieved context provided and to safely reject the context if it is insufficient. Because the ""Expected ATT&CK labels and definitions"" and ""Retrieved ATT&CK context"" fields in the prompt were entirely empty, the models should have flagged the missing context and refused to make a definitive mapping based only on the provided retrieval. Instead, both models leaned on their pre-trained weights to hallucinate the missing context and force a fit. Because both models provided equally accurate domain knowledge but committed the exact same instruction-following failure regarding uncertainty handling, the result is a tie.",gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,not_applicable,not_applicable
2026-08-15T16:08:01.315790+00:00,test-0020,tie,Unsupported or hallucinated technique | Inadequate uncertainty handling,"Both models failed the core instruction to map the incident ""using only the retrieved context provided."" The prompt provided absolutely no retrieved context and no expected labels. Under the evaluation criteria, the models were supposed to safely reject the mapping if the context was insufficient or missing entirely.

Instead of rejecting the prompt, both Answer A and Answer B relied on their internal training data to map the behavior. While they accurately identified the real-world technique for this BokBot behavior (Process Injection: Portable Executable Injection / T1055.002), they explicitly hallucinated that these definitions were provided to them in the prompt. Answer A falsely cites ""definitions provided in the context,"" and Answer B falsely claims its mapping is ""Supported by records T1055.002...""

Because both models bypassed the strict RAG (Retrieval-Augmented Generation) constraints, hallucinated a context match, and failed to acknowledge the missing Expected ATT&CK labels and Retrieved Context, they both exhibit identical fundamental flaws in uncertainty handling and grounding.",gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,not_applicable,not_applicable
2026-08-15T16:08:57.200063+00:00,test-0030,gemini-3.1-flash-lite,Unsupported or hallucinated technique | Weak grounding in narrative,"Both models correctly identified T1566 (Phishing) as the primary technique based on the explicit mention of ""targeted phishing campaigns"" used to ""download and deploy a backdoor."" However, Answer B is the superior response because it demonstrates strict adherence to the provided narrative and excellent uncertainty handling. Answer B correctly points out the ambiguity regarding whether the phishing utilized a link (T1566.002) or an attachment, using this to justify its primary selection of the parent technique T1566.

Answer A fails because it hallucinates and over-maps several techniques. It includes T1598 (Phishing for Information) and T1593 (Search Open Websites/Domains) as supporting/alternative techniques. The narrative explicitly states the phishing was designed to deploy a backdoor (MINEBRIDGE), not to harvest credentials (T1598), and there is absolutely no mention of the threat actors conducting open-source web reconnaissance (T1593).

Prompt Quality Note: The ""Expected ATT&CK labels"" and ""Retrieved ATT&CK context"" fields were entirely blank in the input prompt. Despite this missing data, Answer B successfully relied on foundational ATT&CK knowledge to accurately and safely evaluate the narrative without over-extrapolating.",gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,true,false
2026-08-15T16:10:33.042073+00:00,test-0033,gemini-3.5-flash-lite,Unsupported or hallucinated technique | Incorrect technique mapping | Weak grounding in narrative | Inadequate uncertainty handling,"First, it must be noted that both the ""Expected ATT&CK labels and definitions"" and ""Retrieved ATT&CK context"" fields are completely blank in the provided prompt. Because the retrieved context was empty, both models failed the strict constraint to safely reject the prompt; instead, they both hallucinated techniques and forced a mapping. Furthermore, because the expected label was missing, neither model could assess its relevance.

Judging between the two flawed outputs based on their analytical logic, Answer B is the better model due to its superior uncertainty handling. Answer A demonstrates a fundamental misunderstanding of the ATT&CK framework by mapping T1518 (Software Discovery) to the threat actor's offline vulnerability research and discovery process. T1518 applies to post-compromise endpoint enumeration, not off-target exploit development. Despite this poor grounding, Answer A overconfidently flags ""Review required: No"".

Answer B also struggles with grounding. It maps T1564.006 (Hide Artifacts: Run Virtual Instance) simply because the keyword ""VirtualBox"" is present, despite the fact that exploiting VBoxDrv.sys is typically used to achieve Ring 0/kernel-level privilege escalation to bypass defenses (e.g., BYOVD attacks), rather than to actually run a hidden virtual machine. However, Answer B recognizes the lack of explicit execution or persistence details in the narrative, explicitly acknowledges that its mapping is broad, and safely flags ""Review required: Yes"". This caution provides much better utility for a human analyst.",gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,false,true
2026-08-15T16:11:27.661375+00:00,test-0041,tie,Inadequate uncertainty handling | Unsupported or hallucinated technique | Weak grounding in narrative,"Both models completely failed the ""Uncertainty Handling"" and ""Correctness & Grounding"" criteria by ignoring the constraint to map the technique strictly using the retrieved context provided. Because the ""Retrieved ATT&CK context"" section was entirely empty, a correctly functioning model should have safely rejected the mapping request, stating that no analysis could be performed without the proper context.

Instead, both models relied on their internal training data to hallucinate a mapping to T1055.002 (Portable Executable Injection). While their internal knowledge regarding Ryuk, OpenProcess, and VirtualAllocEx mapping to T1055.002 is technically accurate to the MITRE framework, it violates the core instruction to ground the answer only in the provided text. Furthermore, neither model flagged that the ""Expected ATT&CK labels"" section was completely missing. Since both models forced a fit instead of acknowledging the missing context, this results in a tie due to mutual failure.",gemini-3.5-flash-lite,gemini-3.1-flash-lite,gemini-3.5-flash-lite,gemini-3.1-flash-lite,not_applicable,not_applicable
